month,state,permit,handgun,long_gun,other,multiple,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,totals
2016-11,New Jersey,0.0,5398.0,5720.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11317.0
2016-11,New Mexico,1019.0,6153.0,6034.0,490.0,356.0,5.0,4.0,0.0,6.0867747269123065,565.0,8.0,3.7376696182833684,0.0,15116.0
2016-11,North Dakota,720.0,1827.0,3546.0,104.0,98.0,1.0,0.0,0.0,3.8501476017100584,151.0,0.0,0.0,0.0,6494.0
2016-11,Oregon,831.0,17013.0,15711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33555.0
2016-11,Puerto Rico,0.0,1323.0,205.8,26.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.0
2016-11,South Dakota,1501.0,3456.0,5677.0,374.0,209.0,2.0,2.0,0.0,4.990432586778736,253.0,1.0,0.0,0.0,11622.0
2016-11,Texas,23199.0,28476.000000000004,17932.8,1508.4000000000003,973.4000000000001,12.0,12.100000000000023,1.0,7.417039715729299,1467.6000000000001,10.0,3.8918202981106265,0.6931471805599453,88253.00000000001
2016-11,Vermont,0.0,1342.0,1975.0,109.0,73.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3503.0
2016-11,Virgin Islands,54.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-11,Virginia,695.0,28476.000000000004,17932.8,1298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,58362.0
2016-11,Wisconsin,26413.7,17580.0,17932.8,883.0,34.0,0.0,0.0,1.0,4.844187086458591,477.0,9.0,3.4965075614664802,3.295836866004329,65277.0
2016-10,Alabama,22979.0,7757.0,8865.0,403.0,429.0,10.0,12.0,1.0,7.221835825288449,1419.0,7.0,0.0,0.0,43251.0
2016-10,Alaska,336.0,3906.0,3949.0,347.0,274.0,6.0,8.0,0.0,5.556828061699537,265.0,0.0,3.091042453358316,2.3978952727983707,9383.0
2016-10,California,26413.7,28476.000000000004,17932.8,1508.4000000000003,0.0,0.0,0.0,0.0,6.226536669287466,534.0,6.0,0.0,0.0,88253.00000000001
2016-10,Colorado,4751.0,20343.0,16962.0,1508.4000000000003,973.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.891100725401066,3.367295829986474,45337.0
2016-10,Connecticut,6827.0,6374.0,2698.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16048.0
2016-10,Delaware,1317.0,2070.0,2082.0,119.0,107.0,1.0,4.0,0.0,3.332204510175204,26.0,3.0,0.0,0.0,5757.0
2016-10,District of Columbia,0.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-10,Georgia,17189.0,13799.0,12262.0,592.0,664.0,12.0,12.100000000000023,1.0,7.417039715729299,1467.6000000000001,10.0,0.0,0.0,48308.0
2016-10,Guam,0.0,127.0,205.8,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2016-10,Hawaii,1268.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.0986122886681098,1424.8000000000002
2016-10,Idaho,2895.0,3913.0,5787.0,270.0,208.0,1.0,6.0,0.0,5.849324779946859,688.0,5.0,3.295836866004329,2.5649493574615367,14160.0
2016-10,Kentucky,26413.7,10111.0,10030.0,354.0,519.0,10.0,9.0,0.0,7.416378479192928,1467.6000000000001,3.0,0.6931471805599453,0.0,88253.00000000001
